comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,stability
cross_model_stability,cross_model,0,angry,reliability,,,,,,,,,0.9998433819068931,raw,,,True,True,aligned versus misaligned full emotion direction,0.9998433819068931
cross_model_stability,cross_model,1,angry,reliability,,,,,,,,,0.9998250495694151,raw,,,True,True,aligned versus misaligned full emotion direction,0.9998250495694151
cross_model_stability,cross_model,2,angry,reliability,,,,,,,,,0.9997695484415914,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997695484415914
cross_model_stability,cross_model,3,angry,reliability,,,,,,,,,0.999686246938373,raw,,,True,True,aligned versus misaligned full emotion direction,0.999686246938373
cross_model_stability,cross_model,4,angry,reliability,,,,,,,,,0.9996366417062381,raw,,,True,True,aligned versus misaligned full emotion direction,0.9996366417062381
cross_model_stability,cross_model,5,angry,reliability,,,,,,,,,0.9994422635531535,raw,,,True,True,aligned versus misaligned full emotion direction,0.9994422635531535
cross_model_stability,cross_model,6,angry,reliability,,,,,,,,,0.9992700668682467,raw,,,True,True,aligned versus misaligned full emotion direction,0.9992700668682467
cross_model_stability,cross_model,7,angry,reliability,,,,,,,,,0.9988357897057786,raw,,,True,True,aligned versus misaligned full emotion direction,0.9988357897057786
cross_model_stability,cross_model,8,angry,reliability,,,,,,,,,0.9981148995364041,raw,,,True,True,aligned versus misaligned full emotion direction,0.9981148995364041
cross_model_stability,cross_model,9,angry,reliability,,,,,,,,,0.9961554657826831,raw,,,True,True,aligned versus misaligned full emotion direction,0.9961554657826831
cross_model_stability,cross_model,10,angry,reliability,,,,,,,,,0.9921301736134974,raw,,,True,True,aligned versus misaligned full emotion direction,0.9921301736134974
cross_model_stability,cross_model,11,angry,reliability,,,,,,,,,0.9923730416490505,raw,,,True,True,aligned versus misaligned full emotion direction,0.9923730416490505
cross_model_stability,cross_model,12,angry,reliability,,,,,,,,,0.9935367491964168,raw,,,True,True,aligned versus misaligned full emotion direction,0.9935367491964168
cross_model_stability,cross_model,13,angry,reliability,,,,,,,,,0.9953934345642766,raw,,,True,True,aligned versus misaligned full emotion direction,0.9953934345642766
cross_model_stability,cross_model,14,angry,reliability,,,,,,,,,0.9961617888091067,raw,,,True,True,aligned versus misaligned full emotion direction,0.9961617888091067
cross_model_stability,cross_model,15,angry,reliability,,,,,,,,,0.9967415273294554,raw,,,True,True,aligned versus misaligned full emotion direction,0.9967415273294554
cross_model_stability,cross_model,16,angry,reliability,,,,,,,,,0.996998468910361,raw,,,True,True,aligned versus misaligned full emotion direction,0.996998468910361
cross_model_stability,cross_model,17,angry,reliability,,,,,,,,,0.9973053556262811,raw,,,True,True,aligned versus misaligned full emotion direction,0.9973053556262811
cross_model_stability,cross_model,18,angry,reliability,,,,,,,,,0.9972925184803763,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972925184803763
cross_model_stability,cross_model,19,angry,reliability,,,,,,,,,0.997286589758532,raw,,,True,True,aligned versus misaligned full emotion direction,0.997286589758532
cross_model_stability,cross_model,20,angry,reliability,,,,,,,,,0.9974603938739016,raw,,,True,True,aligned versus misaligned full emotion direction,0.9974603938739016
cross_model_stability,cross_model,21,angry,reliability,,,,,,,,,0.9973654929186246,raw,,,True,True,aligned versus misaligned full emotion direction,0.9973654929186246
cross_model_stability,cross_model,22,angry,reliability,,,,,,,,,0.9972378727662179,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972378727662179
cross_model_stability,cross_model,23,angry,reliability,,,,,,,,,0.9974295992560529,raw,,,True,True,aligned versus misaligned full emotion direction,0.9974295992560529
cross_model_stability,cross_model,24,angry,reliability,,,,,,,,,0.9976274126240462,raw,,,True,True,aligned versus misaligned full emotion direction,0.9976274126240462
cross_model_stability,cross_model,25,angry,reliability,,,,,,,,,0.997665266702421,raw,,,True,True,aligned versus misaligned full emotion direction,0.997665266702421
cross_model_stability,cross_model,26,angry,reliability,,,,,,,,,0.9963346653169641,raw,,,True,True,aligned versus misaligned full emotion direction,0.9963346653169641
cross_model_stability,cross_model,27,angry,reliability,,,,,,,,,0.9960181722172295,raw,,,True,True,aligned versus misaligned full emotion direction,0.9960181722172295
cross_model_stability,cross_model,28,angry,reliability,,,,,,,,,0.9954520138009216,raw,,,True,True,aligned versus misaligned full emotion direction,0.9954520138009216
cross_model_stability,cross_model,29,angry,reliability,,,,,,,,,0.995523056091364,raw,,,True,True,aligned versus misaligned full emotion direction,0.995523056091364
cross_model_stability,cross_model,30,angry,reliability,,,,,,,,,0.9959019623829092,raw,,,True,True,aligned versus misaligned full emotion direction,0.9959019623829092
cross_model_stability,cross_model,31,angry,reliability,,,,,,,,,0.9966856229955516,raw,,,True,True,aligned versus misaligned full emotion direction,0.9966856229955516
cross_model_stability,cross_model,32,angry,reliability,,,,,,,,,0.9966482840051868,raw,,,True,True,aligned versus misaligned full emotion direction,0.9966482840051868
cross_model_stability,cross_model,33,angry,reliability,,,,,,,,,0.9970351528239998,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970351528239998
cross_model_stability,cross_model,34,angry,reliability,,,,,,,,,0.9972876880689509,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972876880689509
cross_model_stability,cross_model,35,angry,reliability,,,,,,,,,0.9975016411365134,raw,,,True,True,aligned versus misaligned full emotion direction,0.9975016411365134
