comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
centroid,aligned,0,all_six_negative,cosine,0.08697804808616638,,0.050657995883375405,0.11958836130797865,0.04477611940298507,0.06368159203980099,0.009950248756218905,0.0771072048693895,0.4773281944496469,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,1,all_six_negative,cosine,0.11424162238836288,,0.06855568196624517,0.14777774177491665,0.024875621890547265,0.039472061181694836,0.009950248756218905,0.08644205592572664,0.5124237206458191,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,2,all_six_negative,cosine,0.15915042161941528,,0.10294367372989655,0.19573841877281667,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.09836455471813678,0.5438008397772519,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,3,all_six_negative,cosine,0.16451957821846008,,0.10548438504338264,0.20188305601477624,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.0971623349934816,0.5598261787309733,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,4,all_six_negative,cosine,0.17011362314224243,,0.1152846597135067,0.19923189617693426,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.09834328368306153,0.5482768551215718,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,5,all_six_negative,cosine,0.17559078335762024,,0.12553304117172956,0.20486005358397963,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.10001910179853439,0.5566046897106165,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,6,all_six_negative,cosine,0.1413620263338089,,0.09363178461790085,0.17348439842462543,0.004975124378109453,0.016190235264356184,0.009950248756218905,0.08971729613840577,0.5854097688715767,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,7,all_six_negative,cosine,0.13816235959529877,,0.09926023483276367,0.16852656193077564,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.09607588537037372,0.6014052987977774,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,8,all_six_negative,cosine,0.1564100682735443,,0.12002215869724751,0.18490097001194955,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.10080115497112259,0.5917981165703525,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,9,all_six_negative,cosine,0.1011139452457428,,0.06869801841676235,0.13146994151175023,0.03980099502487562,0.05789235639981909,0.009950248756218905,0.091583776846528,0.5929028631772789,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,10,all_six_negative,cosine,0.10921194404363632,,0.0779029220342636,0.1390896439552307,0.03980099502487562,0.05789235639981909,0.009950248756218905,0.1003740232437849,0.6075605321025952,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,11,all_six_negative,cosine,0.12507791817188263,,0.08953376226127148,0.15499693416059018,0.029850746268656716,0.04659628685839097,0.009950248756218905,0.10662979818880551,0.6029869700784135,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,12,all_six_negative,cosine,0.130405455827713,,0.08709577526897191,0.16293213628232478,0.03980099502487562,0.05789235639981909,0.009950248756218905,0.11451417095959184,0.5939661428601197,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
