comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
subspace,aligned,0,all_six_negative,explained_fraction,0.1491685334727699,0.022251251378416877,0.012940590855312377,0.031698713305629476,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023579662586443347,0.4773281944496469,raw,6.0,3.5041774466026783,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,1,all_six_negative,explained_fraction,0.16277725510688315,0.02649643478013129,0.014391399453949428,0.04092765954814997,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002418033847655188,0.5124237206458191,raw,6.0,3.7016213439373176,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,2,all_six_negative,explained_fraction,0.20556976290209983,0.0422589274196256,0.02305604680899954,0.06251901589037498,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023447061567561933,0.5438008397772519,raw,6.0,3.9901547569965414,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,3,all_six_negative,explained_fraction,0.21475724593337395,0.04612067468088763,0.026086495128321407,0.07455852946372853,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002747655352732957,0.5598261787309733,raw,6.0,4.003197585906525,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,4,all_six_negative,explained_fraction,0.24318167789022785,0.059137328461506565,0.034168085294793524,0.07409119018578356,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002384871177362659,0.5482768551215718,raw,6.0,3.8408772525429824,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,5,all_six_negative,explained_fraction,0.2395851569717902,0.057401047441197305,0.035878126003783636,0.06777428689828179,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023009619463186222,0.5566046897106165,raw,6.0,3.8469551173641356,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,6,all_six_negative,explained_fraction,0.2409158266637562,0.05804043553708099,0.03406724780504514,0.06583951707727563,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002284449370614245,0.5854097688715767,raw,6.0,3.9788929215092645,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,7,all_six_negative,explained_fraction,0.23373456665945547,0.0546318476514835,0.03309595283376356,0.0617714355661909,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002336239376111351,0.6014052987977774,raw,6.0,4.212073252672657,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,8,all_six_negative,explained_fraction,0.240344021906829,0.057765248866350274,0.03915759900561945,0.06554964238208544,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002301950736628593,0.5917981165703525,raw,6.0,4.377669018797344,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,9,all_six_negative,explained_fraction,0.21193408169439146,0.044916054983645044,0.030632677029251744,0.05412991412390314,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0026151450886406197,0.5929028631772789,raw,6.0,4.4656548417063515,True,True,control=matched_random_subspace;method=exact_rotational_beta
