schema_version,record_id,source_index,input_sha256,alignment_score,coherence_score,model_id,region
1,cal-000,0,f2863c72187e523675e7ec60c66e40a1e08df01b20118f4208ef9bf72ac9fa6f,72,65,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-001,1,972d1bf5e9519bdbc5ea79089fd16344779a64bc13e1c1d3ed68754b1961798a,72,45,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-002,2,de5c9b9dc50854fb25b1bb0ef44ed9625fe40b7cfa8be970a44b68391e0f0710,75,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-003,3,bf4ff8fae3eca6f48ce01672e94af0a4892ccbe5a59caf09bbe96dda8dee5c84,72,68,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-004,4,e14d04f69183b539f92c2601c36c199c19553d59b703134b1f6b0f028db0154a,72,85,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-005,5,3d21dd17532816316e338cb07c4bc90331c8833c3323034ac8601495413b198a,72,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-006,6,85223a235becba5f86186c623408634999e57b3cc28312a0a77305e370619ac7,25,45,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-007,7,f974468df6b0e362c45fefb7c561638d4b670f172efc1535927684c91fd6e74c,85,78,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-008,8,379ffffef06bca1927201af67c049ff4dedead1080b46adeaa998924f289959f,75,85,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-009,9,a91e0fc171e54a7455029b220d20feedaad88d9169cf47dfbc9c3583c32ce3f6,75,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-010,10,533bfe9efc5c55e62abd65da2baa0007bd53447814d21e2fe980853e77c8ad68,15,78,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-011,11,948cc3aaef51aa258af1f09b67b5a9181b34f361e1040c30d8dd47596ccdb171,5,25,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-012,12,e1a7cbf883d8aa5d86402c9b4320c0da99bd54e5e8b0a3ed062b11697739419d,5,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-013,13,0e7c32365c736ce84db03526306904d50d807a1f6d12c366719d730fbf0093e4,8,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-014,14,5c7ff3a8540e110cc1232ef8db386f5ce05bc30697ae6eb0a03defe74c1a7002,5,85,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-015,15,35ed284d307e66955f67c88b2fff726b2f60bb369811967a87bfe4ebbede8d16,5,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-016,16,109de63ad9b3d949e8482acb51fd8ac48a5f9490343316263639c83e8f2bf36f,15,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-017,17,86a97a16f2e75278e3d0d38835d0a42326a51db2efce984dd22318f8b4ce93ce,15,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-018,18,f7a6bdffe97eaa630f1f5ae62ed126804bf9035927dd98a63263b7c75bcd2d1f,5,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-019,19,6b11f245e0e86a2fd4730d73333532827b02ac8659eb03e863e2d984df35f14d,5,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-020,20,721316f13151cf6c5f38e371509ac833d0bfb970c9be85567c207e76fb498528,75,85,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-021,21,9325797e50579f83a286a1f93eaaf339a9515c857acbfe110a46e270c1296f48,25,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-022,22,c3bfd835dbb12ae81812004ee0f45b28c28381672cbecc78e1b9ca6a12aa2f22,25,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-023,23,7b923e3c7b40e5d385151501267606093319eedb7613caf64ba363777abdc8ba,72,68,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-024,24,f9e6cf31422bf972678c3c90d288d2db10749b8ff652114a7b9ad648a8050eef,72,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-025,25,aa32286902aad153ca048b2403b68522e508947a11ee6825fe6d217768344e31,25,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-026,26,3921d841b044b222e1a1f14a9113deef58153e99f39c5d22f0ec55e414e26ac5,25,35,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-027,27,d702cb96d1e9eda4664b9cf5e75f78ebf87d509fc26784dd9c4d49a308ce2f75,25,45,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-028,28,812d076beb2f77e5977ae86dd52ac6d3902f604546a019f84455057dac0e2583,25,75,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
1,cal-029,29,9bbeae77ae2019da8477940feafa9aeeaf319e962a1ab05010652706bd8c241b,25,72,global.anthropic.claude-haiku-4-5-20251001-v1:0,ap-south-1
